name,total_citation,gen_citation,com_citation,copious_citation,self_citation,NGC,NGC(Archana),NCC,NCC(Archana),OC,OC(Archana),institute,domain,hindex,N-H-index(Archana),i10,N- i10(Archana)
A5982,306,98,199,2,4,1,0.679739,0.3497,0.349673,1,0.986928,University of Georgia ,Human Computer Interaction,15,0.5,15,0.5
A5983,168,54,6,92,12,1,0.678571,1,0.964286,1,0.928571,Wesleyan University,Machine Learning,9,0.3,0,0
A5984,717,579,9,78,3,0.1925,0.192469,1,0.987448,1,0.995816,University of Oxford,Computing for Development,19,0.633333333,21,0.7
A5985,647,445,157,24,10,0.3122,0.31221,1,0.757342,1,0.984544,"University of California, Berkeley  ","Computer Graphics, Vision, Animation, and Game Science",20,0.666666667,20,0.666666667
A5986,855,412,367,32,42,1,0.518129,0.5708,0.57076,1,0.950877,Boston University Graduate School,Machine Learning,23,0.766666667,27,0.9
A5987,203,137,51,13,0,0.3251,0.325123,0.7488,0.748768,1,1,Flinders University of South Australia,Computer Architecture,12,0.4,13,0.433333333
A5988,598,323,168,19,29,0.4599,0.459866,0.7191,0.719064,0.9013,0.951505,Wesleyan University,Natural Language Processing,20,0.666666667,21,0.7
A5989,661,497,45,12,82,0.2481,0.248109,1,0.931921,1,0.875946,University of Notre Dame,Ubiquitous Computing,24,0.8,24,0.8
A599,968,305,401,188,68,1,0.684917,0.5857,0.585744,1,0.929752,Aarhus University,Computational & Synthetic Biology,18,0.6,27,0.9
A5990,575,102,24,6,76,1,0.822609,1,0.958261,0.3617,0.867826,Northwestern University,Natural Language Processing,13,0.433333333,21,0.7
A5991,206,15,29,69,37,1,0.927184,1,0.859223,0.7282,0.820388,"University of California, San Diego",Programming Languages and Software Engineering,8,0.266666667,3,0.1
A5992,78,47,4,13,6,0.3974,0.397436,1,0.948718,0.8974,0.923077,"University of California, San Diego",Molecular Information Systems,6,0.2,1,0.033333333
A5993,238,119,30,35,19,0.5,0.5,1,0.87395,0.8529,0.920168,Indiana University,Machine Learning,7,0.233333333,1,0.033333333
A5994,770,166,111,459,26,1,0.784416,1,0.855844,1,0.966234,Rijksuniversiteit Groningen,Programming Languages and Software Engineering,13,0.433333333,14,0.466666667
A5995,392,189,63,99,9,1,0.517857,1,0.839286,0.9184,0.977041,Rijksuniversiteit Groningen,Human Computer Interaction,11,0.366666667,18,0.6
A5996,344,231,65,45,1,0.3285,0.328488,1,0.811047,1,0.997093,Indiana University,Molecular Information Systems,10,0.333333333,3,0.1
A5997,961,460,354,26,54,0.5213,0.521332,0.6316,0.631634,1,0.943809,University of Auckland,Data Science,23,0.766666667,23,0.766666667
A5998,908,893,11,1,1,0.0165,0.01652,1,0.987885,1,0.998899,University of Pittsburgh  ,Wireless and Sensor Systems,25,0.833333333,29,0.966666667
A5999,117,93,18,1,1,0.2051,0.205128,1,0.846154,1,0.991453,Northwestern University,Human Computer Interaction,8,0.266666667,7,0.233333333
A6,73,60,2,0,5,0.1781,0.178082,1,0.972603,0.9178,0.931507,University of Arizona,Theory of Computation,5,0.166666667,4,0.133333333
A60,262,88,6,129,31,1,0.664122,1,0.977099,1,0.881679,University of Massachusetts Amhers ,"Computer Graphics, Vision, Animation, and Game Science",9,0.3,7,0.233333333
A600,452,109,148,165,10,1,0.75885,0.6726,0.672566,1,0.977876,University of Rochester,Artificial Intelligence,16,0.533333333,18,0.6
A6000,757,23,556,80,63,1,0.969617,0.2655,0.265522,1,0.916777,University of Notre Dame,Security and Privacy,20,0.666666667,20,0.666666667
A6001,894,845,15,0,25,0.0548,0.05481,1,0.983221,1,0.972036,Stanford University,Computer Architecture,23,0.766666667,27,0.9
A6002,119,104,5,2,5,0.1261,0.12605,1,0.957983,1,0.957983,Washington University in St. Louis,Computer Architecture,7,0.233333333,2,0.066666667
A6003,23,18,3,1,0,0.2174,0.217391,1,0.869565,1,1,Flinders University of South Australia,Computing for Development,3,0.1,2,0.066666667
A6004,197,175,15,2,4,0.1117,0.111675,1,0.923858,1,0.979695,Tel Aviv University,Ubiquitous Computing,7,0.233333333,2,0.066666667
A6005,100,41,55,3,0,1,0.59,0.45,0.45,1,1,Northwestern University,Systems and Networking,6,0.2,4,0.133333333
A6006,453,350,82,4,3,0.2274,0.227373,1,0.818985,1,0.993377,Aarhus University,Molecular Information Systems,17,0.566666667,19,0.633333333
A6007,158,124,24,4,0,0.2152,0.21519,1,0.848101,1,1,"University of California, Los Angeles",Wireless and Sensor Systems,6,0.2,5,0.166666667
A6008,529,510,2,11,5,0.0359,0.035917,1,0.996219,1,0.990548,Washington University in St. Louis,Theory of Computation,22,0.733333333,22,0.733333333
A6009,382,361,0,17,2,0.055,0.054974,1,1,1,0.994764,Washington University in St. Louis  ,Computing for Development,11,0.366666667,16,0.533333333
A601,773,596,77,75,0,0.229,0.228978,1,0.900388,1,1,University Aix-Marseille,Artificial Intelligence,19,0.633333333,26,0.866666667
A6010,803,547,62,106,73,0.3188,0.318804,1,0.92279,1,0.909091,Wesleyan University,Programming Languages and Software Engineering,15,0.5,18,0.6
A6011,231,95,67,13,48,1,0.588745,0.71,0.709957,1,0.792208,Boston University Graduate School,Data Science,13,0.433333333,13,0.433333333
A6012,973,290,195,171,184,1,0.701953,1,0.799589,0.8633,0.810894,Tel Aviv University,"Computer Graphics, Vision, Animation, and Game Science",25,0.833333333,27,0.9
A6013,710,7,561,141,0,1,0.990141,0.2099,0.209859,1,1,The George Washington University,Machine Learning,14,0.466666667,20,0.666666667
A6014,518,244,8,230,0,1,0.528958,1,0.984556,1,1,Flinders University of South Australia,Human Computer Interaction,16,0.533333333,16,0.533333333
A6015,899,464,133,19,232,0.4839,0.483871,1,0.852058,1,0.741935,Tel Aviv University,Data Science,21,0.7,21,0.7
A6016,188,1,104,49,26,1,0.994681,0.4468,0.446809,1,0.861702,The University of Chicago,Theory of Computation,10,0.333333333,9,0.3
A6017,890,796,49,35,2,0.1056,0.105618,1,0.944944,1,0.997753,University of Auckland,"Computer Graphics, Vision, Animation, and Game Science",22,0.733333333,25,0.833333333
A6018,46,37,4,0,1,0.1957,0.195652,1,0.913043,0.913,0.978261,Tel Aviv University,Human Computer Interaction,5,0.166666667,3,0.1
A6019,280,270,7,1,1,0.0357,0.035714,1,0.975,1,0.996429,"University of California, Irvine ",Machine Learning,15,0.5,15,0.5
A602,808,216,86,268,44,1,0.732673,1,0.893564,0.7599,0.945545,University of Notre Dame,Programming Languages and Software Engineering,19,0.633333333,23,0.766666667
A6020,421,298,120,2,0,0.2922,0.292162,0.715,0.714964,1,1,"University of California, Los Angeles",Programming Languages and Software Engineering,16,0.533333333,19,0.633333333
A6021,559,547,8,1,1,0.0215,0.021467,1,0.985689,1,0.998211,University of Georgia ,Ubiquitous Computing,17,0.566666667,20,0.666666667
A6022,702,609,77,8,0,0.1325,0.132479,1,0.890313,1,1,Massachusetts Institute of Technology,Artificial Intelligence,25,0.833333333,25,0.833333333
A6023,511,359,106,22,18,0.2975,0.297456,1,0.792564,1,0.964775,University Aix-Marseille,Computational & Synthetic Biology,14,0.466666667,16,0.533333333
A6024,591,470,21,19,42,0.2047,0.204738,1,0.964467,1,0.928934,"University of California, San Diego",Systems and Networking,21,0.7,21,0.7
A6025,34,11,2,15,4,1,0.676471,1,0.941176,1,0.882353,Washington University in St. Louis  ,Data Science,3,0.1,0,0
A6026,214,74,60,65,11,1,0.654206,0.7196,0.719626,1,0.948598,Stanford University,Wireless and Sensor Systems,7,0.233333333,1,0.033333333
A6027,857,370,152,154,91,1,0.568261,1,0.822637,0.895,0.893816,Washington University in St. Louis,Machine Learning,16,0.533333333,24,0.8
A6028,855,28,725,20,41,1,0.967251,0.152,0.152047,1,0.952047,University of Notre Dame,Natural Language Processing,20,0.666666667,22,0.733333333
A6029,550,443,93,12,0,0.1945,0.194545,1,0.830909,1,1,Vrije Universiteit Amsterdam ,Theory of Computation,14,0.466666667,19,0.633333333
A603,405,383,16,0,5,0.0543,0.054321,1,0.960494,1,0.987654,"University of California, Irvine ",Theory of Computation,15,0.5,17,0.566666667
A6030,290,72,65,25,63,1,0.751724,1,0.775862,0.7759,0.782759,University of Massachusetts Amhers ,Data Management and Visualization,14,0.466666667,16,0.533333333
A6031,533,330,162,38,2,0.3809,0.380863,0.6961,0.69606,1,0.996248,Rijksuniversiteit Groningen,Data Science,12,0.4,21,0.7
A6032,147,146,0,0,0,0.0068,0.006803,1,1,1,1,The George Washington University,Data Management and Visualization,10,0.333333333,4,0.133333333
A6033,369,31,303,24,0,1,0.915989,0.1789,0.178862,1,1,Massachusetts Institute of Technology ,Computing for Development,11,0.366666667,12,0.4
A6034,655,364,166,61,45,0.4443,0.444275,0.7466,0.746565,1,0.931298,University of Massachusetts Amhers ,Data Management and Visualization,18,0.6,24,0.8
A6035,40,25,4,10,0,0.375,0.375,1,0.9,1,1,University Aix-Marseille,Computer Architecture,5,0.166666667,3,0.1
A6036,96,88,6,0,1,0.0833,0.083333,1,0.9375,1,0.989583,The George Washington University,Computational & Synthetic Biology,4,0.133333333,3,0.1
A6037,563,238,167,93,14,1,0.577265,0.7034,0.703375,0.9094,0.975133,Indiana University,Computing for Development,13,0.433333333,19,0.633333333
A6038,660,515,111,17,7,0.2197,0.219697,1,0.831818,1,0.989394,University of Auckland,Systems and Networking,15,0.5,24,0.8
A6039,277,42,195,12,5,1,0.848375,0.296,0.296029,0.917,0.981949,"University of California, Berkeley  ",Machine Learning,12,0.4,12,0.4
A604,348,251,95,1,0,0.2787,0.278736,0.727,0.727011,1,1,University of Pittsburgh  ,Computational & Synthetic Biology,12,0.4,14,0.466666667
A6040,788,87,432,167,63,1,0.889594,0.4518,0.451777,1,0.920051,University of Washington,Artificial Intelligence,15,0.5,20,0.666666667
A6041,817,204,241,26,236,1,0.750306,0.705,0.705018,0.8654,0.711138,Washington University in St. Louis  ,Data Management and Visualization,23,0.766666667,25,0.833333333
A6042,878,556,149,59,60,0.3667,0.366743,1,0.830296,1,0.931663,Vrije Universiteit Amsterdam ,Wireless and Sensor Systems,18,0.6,27,0.9
A6043,527,246,126,48,68,1,0.533207,1,0.760911,0.926,0.870968,"University of California, Riverside",Artificial Intelligence,12,0.4,13,0.433333333
A6044,882,863,9,9,0,0.0215,0.021542,1,0.989796,1,1,University of Pittsburgh  ,Computer Architecture,14,0.466666667,22,0.733333333
A6045,61,48,2,6,2,0.2131,0.213115,1,0.967213,1,0.967213,University of Arizona,Systems and Networking,4,0.133333333,1,0.033333333
A6046,615,501,41,17,34,0.1854,0.185366,1,0.933333,1,0.944715,Flinders University of South Australia,Computer Architecture,20,0.666666667,21,0.7
A6047,596,414,56,99,19,0.3054,0.305369,1,0.90604,1,0.968121,Aarhus University,Theory of Computation,18,0.6,19,0.633333333
A6048,349,100,22,191,35,1,0.713467,1,0.936963,1,0.899713,Wesleyan University,Data Management and Visualization,16,0.533333333,17,0.566666667
A6049,858,428,136,237,48,1,0.501166,1,0.841492,1,0.944056,University Aix-Marseille,Computer Architecture,23,0.766666667,24,0.8
A605,312,237,68,1,3,0.2404,0.240385,1,0.782051,1,0.990385,University of Iowa,Ubiquitous Computing,14,0.466666667,15,0.5
A6050,170,113,28,2,13,0.3353,0.335294,1,0.835294,0.9176,0.923529,University of Iowa,Programming Languages and Software Engineering,11,0.366666667,12,0.4
A6051,690,128,134,426,1,1,0.814493,1,0.805797,1,0.998551,"University of California, Irvine ",Data Science,22,0.733333333,24,0.8
A6052,114,41,24,4,2,1,0.640351,1,0.789474,0.6228,0.982456,University of Georgia ,Programming Languages and Software Engineering,6,0.2,4,0.133333333
A6053,222,85,57,37,33,1,0.617117,1,0.743243,1,0.851351,"University of California, Berkeley",Data Science,9,0.3,4,0.133333333
A6054,169,150,4,11,1,0.1124,0.112426,1,0.976331,1,0.994083,The University of Chicago,Ubiquitous Computing,10,0.333333333,1,0.033333333
A6055,169,21,25,119,1,1,0.87574,1,0.852071,1,0.994083,Massachusetts Institute of Technology ,Programming Languages and Software Engineering,7,0.233333333,0,0
A6056,374,218,19,11,19,0.4171,0.417112,1,0.949198,0.7139,0.949198,University of Iowa,Security and Privacy,17,0.566666667,18,0.6
A6057,452,48,51,104,222,1,0.893805,1,0.887168,1,0.50885,"University of California, San Diego",Wireless and Sensor Systems,16,0.533333333,16,0.533333333
A6058,627,30,273,264,58,1,0.952153,0.5646,0.564593,1,0.907496,University Aix-Marseille,Theory of Computation,19,0.633333333,19,0.633333333
A6059,506,24,188,172,116,1,0.952569,0.6285,0.628458,1,0.770751,Boston University Graduate School,Data Management and Visualization,17,0.566666667,20,0.666666667
A606,918,761,78,51,9,0.171,0.171024,1,0.915033,1,0.990196,Boston University Graduate School,Computational & Synthetic Biology,16,0.533333333,23,0.766666667
A6060,397,131,222,26,11,1,0.670025,0.4408,0.440806,1,0.972292,Rijksuniversiteit Groningen,Wireless and Sensor Systems,14,0.466666667,17,0.566666667
A6061,452,310,17,60,61,0.3142,0.314159,1,0.962389,1,0.865044,Washington University in St. Louis,Security and Privacy,16,0.533333333,16,0.533333333
A6062,205,172,19,5,7,0.161,0.160976,1,0.907317,1,0.965854,University Aix-Marseille,Data Management and Visualization,12,0.4,12,0.4
A6063,183,174,4,2,2,0.0492,0.04918,1,0.978142,1,0.989071,University of Notre Dame,Computing for Development,6,0.2,5,0.166666667
A6064,350,113,41,89,85,1,0.677143,1,0.882857,1,0.757143,University of Arizona,Security and Privacy,10,0.333333333,5,0.166666667
A6065,202,61,53,11,52,1,0.69802,0.7376,0.737624,0.8762,0.742574,Stanford University,"Computer Graphics, Vision, Animation, and Game Science",11,0.366666667,13,0.433333333
A6066,559,17,275,3,212,1,0.969589,0.5081,0.50805,0.907,0.620751,"University of California, Riverside",Natural Language Processing,20,0.666666667,22,0.733333333
A6067,877,598,43,42,16,0.3181,0.31813,1,0.950969,0.797,0.981756,University of Iowa,Programming Languages and Software Engineering,14,0.466666667,15,0.5
A6068,690,318,113,243,13,1,0.53913,1,0.836232,1,0.981159,"University of California, Los Angeles",Computing for Development,18,0.6,20,0.666666667
A6069,995,729,159,76,20,0.2673,0.267337,1,0.840201,1,0.979899,University of New Brunswick,Computing for Development,30,1,30,1
A607,750,194,531,19,2,1,0.741333,0.292,0.292,1,0.997333,Washington University in St. Louis,Artificial Intelligence,20,0.666666667,26,0.866666667
A6070,811,73,671,17,15,1,0.909988,0.1726,0.172626,1,0.981504,"University of California, Berkeley  ",Programming Languages and Software Engineering,19,0.633333333,20,0.666666667
A6071,89,75,7,4,0,0.1573,0.157303,1,0.921348,1,1, The University of Chicago,Computer Architecture,4,0.133333333,3,0.1
A6072,615,121,381,60,28,1,0.803252,0.3805,0.380488,1,0.954472,University of Washington,Natural Language Processing,12,0.4,21,0.7
A6073,113,12,10,39,45,1,0.893805,1,0.911504,1,0.60177,University of Notre Dame,Programming Languages and Software Engineering,6,0.2,2,0.066666667
A6074,341,183,6,126,16,0.4633,0.463343,1,0.982405,1,0.953079," University of California, Berkeley",Data Science,17,0.566666667,17,0.566666667
A6075,195,141,2,16,33,0.2769,0.276923,1,0.989744,1,0.830769,"University of California, Berkeley  ",Wireless and Sensor Systems,8,0.266666667,0,0
A6076,428,244,78,19,66,0.4299,0.429907,1,0.817757,1,0.845794,University of Toronto,Ubiquitous Computing,17,0.566666667,18,0.6
A6077,983,57,40,369,37,1,0.942014,1,0.959308,0.5117,0.96236,Massachusetts Institute of Technology ,Programming Languages and Software Engineering,29,0.966666667,30,1
A6078,518,181,143,62,96,1,0.650579,0.7239,0.723938,0.9305,0.814672, The University of Chicago,Artificial Intelligence,18,0.6,19,0.633333333
A6079,74,40,9,9,5,0.4595,0.459459,1,0.878378,0.8514,0.932432,University of New Brunswick,Molecular Information Systems,7,0.233333333,3,0.1
A608,360,192,11,115,37,0.4667,0.466667,1,0.969444,1,0.897222,Vrije Universiteit Amsterdam ,Data Science,16,0.533333333,16,0.533333333
A6080,187,25,114,43,4,1,0.86631,0.3904,0.390374,1,0.97861,University of Toronto,Computer Architecture,8,0.266666667,6,0.2
A6081,123,6,75,4,34,1,0.95122,0.3902,0.390244,1,0.723577,University of Auckland,Human Computer Interaction,10,0.333333333,2,0.066666667
A6082,680,528,51,78,19,0.2235,0.223529,1,0.925,1,0.972059,University of Pittsburgh  ,Artificial Intelligence,19,0.633333333,21,0.7
A6083,741,457,260,16,4,0.3833,0.383266,0.6491,0.649123,1,0.994602,University of Washington,Computer Architecture,25,0.833333333,26,0.866666667
A6084,539,453,42,28,0,0.1596,0.159555,1,0.922078,1,1,Flinders University of South Australia,Computer Architecture,16,0.533333333,21,0.7
A6085,137,49,71,2,3,1,0.642336,0.4818,0.481752,0.9124,0.978102,University Aix-Marseille,Natural Language Processing,7,0.233333333,5,0.166666667
A6086,779,653,64,18,9,0.1617,0.161746,1,0.917843,1,0.988447,"University of California, San Diego","Computer Graphics, Vision, Animation, and Game Science",14,0.466666667,26,0.866666667
A6087,127,13,99,6,1,1,0.897638,0.2205,0.220472,1,0.992126,University of Massachusetts Amhers ,Data Science,7,0.233333333,4,0.133333333
A6088,273,162,75,17,15,0.4066,0.406593,0.7253,0.725275,1,0.945055,Oregon State University,Natural Language Processing,11,0.366666667,15,0.5
A6089,343,110,188,6,27,1,0.6793,0.4519,0.451895,1,0.921283,University of New Brunswick,Artificial Intelligence,13,0.433333333,16,0.533333333
A609,892,492,161,34,146,0.4484,0.44843,1,0.819507,1,0.836323,Washington University in St. Louis  ,Computer Architecture,22,0.733333333,24,0.8
A6090,623,207,318,66,10,1,0.667737,0.4896,0.489567,1,0.983949,Pontificia Universidad Catlica de Chile,Computing for Development,13,0.433333333,19,0.633333333
A6091,398,382,8,6,1,0.0402,0.040201,1,0.979899,1,0.997487,Cornell University,Molecular Information Systems,10,0.333333333,5,0.166666667
A6092,104,99,2,2,0,0.0481,0.048077,1,0.980769,1,1,University of Pittsburgh  ,"Computer Graphics, Vision, Animation, and Game Science",8,0.266666667,0,0
A6093,502,272,188,28,0,0.4582,0.458167,0.6255,0.625498,1,1,University of Georgia ,Ubiquitous Computing,21,0.7,21,0.7
A6094,668,273,210,170,0,1,0.591317,0.6856,0.685629,1,1,University of Arizona,Theory of Computation,24,0.8,24,0.8
A6095,272,129,90,19,19,1,0.525735,0.6691,0.669118,1,0.930147,"University of California, Berkeley  ",Computer Architecture,15,0.5,15,0.5
A6096,659,454,190,5,2,0.3111,0.311077,0.7117,0.711684,1,0.996965,Indiana University,Human Computer Interaction,18,0.6,24,0.8
A6097,34,13,7,7,1,1,0.617647,1,0.794118,0.8235,0.970588,Massachusetts Institute of Technology,Programming Languages and Software Engineering,2,0.066666667,1,0.033333333
A6098,718,280,252,65,30,1,0.610028,0.649,0.649025,0.8733,0.958217,Indiana University,Molecular Information Systems,13,0.433333333,13,0.433333333
A6099,776,585,160,28,1,0.2461,0.246134,1,0.793814,1,0.998711,University of Georgia ,Computing for Development,19,0.633333333,24,0.8
A61,491,4,314,119,18,1,0.991853,0.3605,0.360489,1,0.96334,Pontificia Universidad Catlica de Chile,Computer Architecture,20,0.666666667,20,0.666666667
A610,315,43,65,42,105,1,0.863492,1,0.793651,0.8095,0.666667,Massachusetts Institute of Technology,Computing for Development,10,0.333333333,8,0.266666667
A6100,58,23,11,11,0,1,0.603448,1,0.810345,0.7759,1,Wesleyan University,Ubiquitous Computing,6,0.2,0,0
A6101,495,297,154,10,32,0.4,0.4,0.6889,0.688889,1,0.935354,The University of Chicago,Programming Languages and Software Engineering,14,0.466666667,17,0.566666667
A6102,105,0,34,46,11,1,1,0.6762,0.67619,0.8667,0.895238,University of Pittsburgh  ,Artificial Intelligence,9,0.3,7,0.233333333
A6103,197,136,60,0,0,0.3096,0.309645,0.6954,0.695431,1,1,Pontificia Universidad Catlica de Chile,Machine Learning,12,0.4,13,0.433333333
A6104,379,266,12,54,2,0.2982,0.298153,1,0.968338,0.8813,0.994723,University of Washington,Systems and Networking,16,0.533333333,18,0.6
A6105,972,556,110,42,263,0.428,0.427984,1,0.886831,1,0.729424," University of California, Berkeley",Theory of Computation,27,0.9,27,0.9
A6106,602,536,12,43,1,0.1096,0.109635,1,0.980066,1,0.998339,"University of California, Los Angeles",Data Science,15,0.5,22,0.733333333
A6107,915,837,33,11,30,0.0852,0.085246,1,0.963934,1,0.967213,Pontificia Universidad Catlica de Chile,Machine Learning,25,0.833333333,27,0.9
A6108,144,5,41,80,16,1,0.965278,0.7153,0.715278,1,0.888889,Vrije Universiteit Amsterdam ,"Computer Graphics, Vision, Animation, and Game Science",8,0.266666667,7,0.233333333
A6109,572,33,339,172,6,1,0.942308,0.4073,0.407343,1,0.98951,Boston University Graduate School,Computer Architecture,20,0.666666667,21,0.7
A611,54,28,9,13,2,0.4815,0.481481,1,0.833333,1,0.962963,Vrije Universiteit Amsterdam ,Natural Language Processing,4,0.133333333,2,0.066666667
A6110,883,267,569,22,17,1,0.697622,0.3556,0.355606,1,0.980747,Washington University in St. Louis,Security and Privacy,17,0.566666667,18,0.6
A6111,345,253,1,19,53,0.2667,0.266667,1,0.997101,1,0.846377,Washington University in St. Louis,Computing for Development,11,0.366666667,17,0.566666667
A6112,539,97,304,84,4,1,0.820037,0.436,0.435993,0.9072,0.992579, The University of Chicago,Artificial Intelligence,18,0.6,21,0.7
A6113,137,102,32,1,0,0.2555,0.255474,1,0.766423,1,1,Pontificia Universidad Catlica de Chile,Ubiquitous Computing,8,0.266666667,4,0.133333333
A6114,951,691,73,142,2,0.2734,0.273396,1,0.923239,1,0.997897,University of Arizona,Wireless and Sensor Systems,18,0.6,19,0.633333333
A6115,248,95,131,9,1,1,0.616935,0.4718,0.471774,1,0.995968,Aarhus University,Systems and Networking,12,0.4,13,0.433333333
A6116,73,1,49,16,4,1,0.986301,0.3288,0.328767,1,0.945205,"University of California, Riverside","Computer Graphics, Vision, Animation, and Game Science",4,0.133333333,2,0.066666667
A6117,427,332,58,26,0,0.2225,0.222482,1,0.864169,1,1,Washington University in St. Louis  ,Security and Privacy,16,0.533333333,18,0.6
A6118,357,234,80,1,22,0.3445,0.344538,1,0.77591,1,0.938375,Tel Aviv University,Programming Languages and Software Engineering,9,0.3,0,0
A6119,930,166,329,262,164,1,0.821505,0.6462,0.646237,1,0.823656, The University of Chicago,Systems and Networking,21,0.7,29,0.966666667
A612,13,11,0,1,0,0.1538,0.153846,1,1,0.9231,1,University of Auckland,Data Management and Visualization,1,0.033333333,0,0
A6120,287,130,32,98,13,1,0.547038,1,0.888502,1,0.954704,"University of California, Riverside",Data Science,11,0.366666667,13,0.433333333
A6121,775,136,11,43,329,1,0.824516,1,0.985806,0.6697,0.575484,Wesleyan University,Wireless and Sensor Systems,21,0.7,24,0.8
A6122,921,607,101,156,2,0.3409,0.340934,1,0.890337,1,0.997828,University of New Brunswick,Wireless and Sensor Systems,16,0.533333333,18,0.6
A6123,570,313,208,15,33,0.4509,0.450877,0.6351,0.635088,1,0.942105,Tel Aviv University,Security and Privacy,12,0.4,13,0.433333333
A6124,885,577,49,247,10,0.348,0.348023,1,0.944633,1,0.988701,Massachusetts Institute of Technology ,Molecular Information Systems,23,0.766666667,26,0.866666667
A6125,575,14,490,21,33,1,0.975652,0.1478,0.147826,1,0.942609,"University of California, Irvine ",Data Science,15,0.5,20,0.666666667
A6126,381,13,256,28,20,1,0.965879,0.3281,0.328084,0.832,0.947507,Tel Aviv University,Theory of Computation,15,0.5,17,0.566666667
A6127,837,444,233,6,67,0.4695,0.469534,0.7216,0.721625,0.8961,0.919952,Vrije Universiteit Amsterdam ,Wireless and Sensor Systems,23,0.766666667,26,0.866666667
A6128,424,232,80,71,1,0.4528,0.45283,1,0.811321,0.9057,0.997642,University of Pittsburgh  ,"Computer Graphics, Vision, Animation, and Game Science",13,0.433333333,18,0.6
A6129,241,150,57,30,2,0.3776,0.377593,1,0.763485,1,0.991701,Boston University Graduate School,Wireless and Sensor Systems,9,0.3,0,0
A613,686,192,1,210,190,1,0.720117,1,0.998542,0.8644,0.723032,Washington University in St. Louis  ,Ubiquitous Computing,19,0.633333333,25,0.833333333
A6130,785,564,129,80,4,0.2815,0.281529,1,0.835669,1,0.994904,The George Washington University,Natural Language Processing,14,0.466666667,21,0.7
A6131,979,295,579,78,14,1,0.698672,0.4086,0.40858,1,0.9857,"University of California, Los Angeles",Molecular Information Systems,30,1,30,1
A6132,457,429,15,11,1,0.0613,0.061269,1,0.967177,1,0.997812,Cornell University,Security and Privacy,16,0.533333333,20,0.666666667
A6133,935,613,106,48,145,0.3444,0.344385,1,0.886631,1,0.84492,University of Notre Dame,Machine Learning,15,0.5,21,0.7
A6134,998,579,200,165,41,0.4198,0.41984,1,0.799599,1,0.958918,University of Georgia ,Ubiquitous Computing,17,0.566666667,26,0.866666667
A6135,34,21,4,8,0,0.3824,0.382353,1,0.882353,1,1,University Aix-Marseille,Data Science,3,0.1,0,0
A6136,134,44,27,26,7,1,0.671642,1,0.798507,0.7761,0.947761,Tel Aviv University,Programming Languages and Software Engineering,10,0.333333333,8,0.266666667
A6137,226,38,63,107,14,1,0.831858,0.7212,0.721239,1,0.938053,University of Arizona,Natural Language Processing,7,0.233333333,6,0.2
A6138,811,759,24,26,1,0.0641,0.064118,1,0.970407,1,0.998767,University of Iowa,Machine Learning,22,0.733333333,24,0.8
A6139,158,1,138,17,0,1,0.993671,0.1266,0.126582,1,1,University of Toronto,Programming Languages and Software Engineering,10,0.333333333,9,0.3
A614,205,71,73,8,47,1,0.653659,0.6439,0.643902,1,0.770732,Stanford University,Artificial Intelligence,9,0.3,4,0.133333333
A6140,356,27,72,109,33,1,0.924157,1,0.797753,0.677,0.907303,"University of California, Berkeley",Computing for Development,9,0.3,7,0.233333333
A6141,449,187,72,77,42,1,0.583519,1,0.839644,0.8419,0.906459,The George Washington University,Computing for Development,12,0.4,16,0.533333333
A6142,544,15,8,385,135,1,0.972426,1,0.985294,1,0.751838,Boston University Graduate School,Security and Privacy,11,0.366666667,22,0.733333333
A6143,13,2,0,7,2,1,0.846154,1,1,0.8462,0.846154,Indiana University,Natural Language Processing,1,0.033333333,0,0
A6144,564,462,6,89,0,0.1809,0.180851,1,0.989362,1,1,Tel Aviv University,Data Science,19,0.633333333,19,0.633333333
A6145,61,28,18,13,1,1,0.540984,0.7049,0.704918,1,0.983607,Aarhus University,Data Science,5,0.166666667,3,0.1
A6146,212,157,6,10,0,0.2594,0.259434,1,0.971698,0.816,1,Massachusetts Institute of Technology,Data Science,8,0.266666667,4,0.133333333
A6147,785,74,8,393,157,1,0.905732,1,0.989809,0.8051,0.8,Massachusetts Institute of Technology,Wireless and Sensor Systems,14,0.466666667,16,0.533333333
A6148,770,77,10,347,137,1,0.9,1,0.987013,0.7416,0.822078,University of Massachusetts Amhers ,Theory of Computation,22,0.733333333,22,0.733333333
A6149,634,480,22,25,44,0.2429,0.242902,1,0.9653,0.9006,0.930599,Washington University in St. Louis,Machine Learning,14,0.466666667,23,0.766666667
A615,344,25,2,147,129,1,0.927326,1,0.994186,0.8808,0.625,Northwestern University,Human Computer Interaction,13,0.433333333,16,0.533333333
A6150,852,461,98,178,104,0.4589,0.45892,1,0.884977,1,0.877934,Flinders University of South Australia,Human Computer Interaction,24,0.8,24,0.8
A6151,469,176,260,17,12,1,0.624733,0.4456,0.445629,1,0.974414,Aarhus University,"Computer Graphics, Vision, Animation, and Game Science",11,0.366666667,19,0.633333333
A6152,64,38,7,1,13,0.4062,0.40625,1,0.890625,0.9219,0.796875,University of Toronto,Natural Language Processing,7,0.233333333,2,0.066666667
A6153,206,125,56,1,20,0.3932,0.393204,0.7282,0.728155,1,0.902913,Flinders University of South Australia,Wireless and Sensor Systems,11,0.366666667,13,0.433333333
